"dat","cat","val"
"01.10.2015","family","0.257312"
"01.11.2015","family","0.13661491"
"01.12.2015","family","0.3505003"
"01.03.2016","family","0.005"
"01.04.2016","family","0.093009"
"01.05.2016","family","0.1696"
"01.06.2016","family","0.42589088"
"01.07.2016","family","0.08379"
"01.08.2016","family","0.1483569"
"01.09.2016","family","0.3589353"
"01.10.2015","last","0.24414573"
"01.11.2015","last","0.07556773"
"01.12.2015","last","2.22669575"
"01.08.2016","last","0.01187968"
"01.09.2016","last","0.04176677"
"01.10.2015","strange","0.050065"
"01.11.2015","strange","0.0052"
"01.12.2015","strange","0.093175"
"01.02.2016","strange","0.0065"
"01.03.2016","strange","0.0065"
"01.04.2016","strange","0.162354"
"01.05.2016","strange","0.013"
"01.06.2016","strange","0.2056"
"01.07.2016","strange","0.040056"
"01.08.2016","strange","0.037311"
"01.09.2016","strange","0.12983665"
"01.10.2015","strong","0.07626855"
"01.11.2015","strong","0.06411531"
"01.12.2015","strong","0.34290008"
"01.01.2016","strong","0.011016"
"01.02.2016","strong","0.0669375"
"01.03.2016","strong","0.1603535"
"01.04.2016","strong","0.55969758"
"01.05.2016","strong","0.21338327"
"01.06.2016","strong","0.10361919"
"01.07.2016","strong","0.12741537"
"01.08.2016","strong","0.13171047"
"01.09.2016","strong","0.16243571"
"01.10.2015","tender","0.007955"
"01.11.2015","tender","0.133964"
"01.12.2015","tender","0.6482507"
"01.01.2016","tender","0.10162364"
"01.02.2016","tender","0.2962978"
"01.03.2016","tender","0.14674744"
"01.04.2016","tender","0.212182"
"01.05.2016","tender","0.32826124"
"01.06.2016","tender","0.67539004"
"01.07.2016","tender","0.0359889"
"01.08.2016","tender","0.25099535"
"01.09.2016","tender","0.0852"
