"dat","cat","val"
"01.10.2015","spd","2.31271117"
"01.11.2015","spd","2.36617879"
"01.12.2015","spd","7.33891379"
"01.01.2016","spd","0.11673964"
"01.02.2016","spd","0.68067854"
"01.03.2016","spd","0.79553215"
"01.04.2016","spd","1.86649593"
"01.05.2016","spd","1.59953162"
"01.06.2016","spd","3.33660502"
"01.07.2016","spd","1.68613282"
"01.08.2016","spd","2.62964542"
"01.09.2016","spd","2.69895968"
"01.10.2015","nspd","109.05448134"
"01.11.2015","nspd","102.5193999"
"01.12.2015","nspd","404.24406028"
"01.01.2016","nspd","1.25299742"
"01.02.2016","nspd","4.11367759"
"01.03.2016","nspd","15.88568257"
"01.04.2016","nspd","30.48853252"
"01.05.2016","nspd","24.23865527"
"01.06.2016","nspd","30.25451141"
"01.07.2016","nspd","20.66964762"
"01.08.2016","nspd","40.88030766"
"01.09.2016","nspd","86.61386067"
"01.10.2015","family contract","0.257312"
"01.11.2015","family contract","0.13661491"
"01.12.2015","family contract","0.3505003"
"01.03.2016","family contract","0.005"
"01.04.2016","family contract","0.093009"
"01.05.2016","family contract","0.1696"
"01.06.2016","family contract","0.42589088"
"01.07.2016","family contract","0.08379"
"01.08.2016","family contract","0.1483569"
"01.09.2016","family contract","0.3589353"
"01.10.2015","last month client","0.24414573"
"01.11.2015","last month client","0.07556773"
"01.12.2015","last month client","2.22669575"
"01.08.2016","last month client","0.01187968"
"01.09.2016","last month client","0.04176677"
"01.10.2015","strange transaction","0.050065"
"01.11.2015","strange transaction","0.0052"
"01.12.2015","strange transaction","0.093175"
"01.02.2016","strange transaction","0.0065"
"01.03.2016","strange transaction","0.0065"
"01.04.2016","strange transaction","0.162354"
"01.05.2016","strange transaction","0.013"
"01.06.2016","strange transaction","0.2056"
"01.07.2016","strange transaction","0.040056"
"01.08.2016","strange transaction","0.037311"
"01.09.2016","strange transaction","0.12983665"
"01.10.2015","strong collaboration","0.07626855"
"01.11.2015","strong collaboration","0.06411531"
"01.12.2015","strong collaboration","0.34290008"
"01.01.2016","strong collaboration","0.011016"
"01.02.2016","strong collaboration","0.0669375"
"01.03.2016","strong collaboration","0.1603535"
"01.04.2016","strong collaboration","0.55969758"
"01.05.2016","strong collaboration","0.21338327"
"01.06.2016","strong collaboration","0.10361919"
"01.07.2016","strong collaboration","0.12741537"
"01.08.2016","strong collaboration","0.13171047"
"01.09.2016","strong collaboration","0.16243571"
"01.10.2015","tender avoid","0.007955"
"01.11.2015","tender avoid","0.133964"
"01.12.2015","tender avoid","0.6482507"
"01.01.2016","tender avoid","0.10162364"
"01.02.2016","tender avoid","0.2962978"
"01.03.2016","tender avoid","0.14674744"
"01.04.2016","tender avoid","0.212182"
"01.05.2016","tender avoid","0.32826124"
"01.06.2016","tender avoid","0.67539004"
"01.07.2016","tender avoid","0.0359889"
"01.08.2016","tender avoid","0.25099535"
"01.09.2016","tender avoid","0.0852"
