year,country,item,option,val
1995,Czech Republic,Безпека і оборона,def,3.6
1995,Czech Republic,Відсотки за борг,deb,1
1995,Czech Republic,Державна служба,cle,3.4
1995,Czech Republic,Дороги і ЖКГ,hou,8.7
1995,Czech Republic,Медицина,med,1.5
1995,Czech Republic,Освіта,edu,7.7
1995,Czech Republic,Пенсії,old,6
1995,Czech Republic,Соціальний захист,soc,5.3
1995,Estonia,Безпека і оборона,def,4.5
1995,Estonia,Відсотки за борг,deb,0.7
1995,Estonia,Державна служба,cle,3.9
1995,Estonia,Дороги і ЖКГ,hou,3.6
1995,Estonia,Медицина,med,4.5
1995,Estonia,Освіта,edu,8
1995,Estonia,Пенсії,old,5.9
1995,Estonia,Соціальний захист,soc,4.5
1995,Hungary,Безпека і оборона,def,2.7
1995,Hungary,Відсотки за борг,deb,9
1995,Hungary,Державна служба,cle,4.9
1995,Hungary,Дороги і ЖКГ,hou,3.6
1995,Hungary,Медицина,med,4.3
1995,Hungary,Освіта,edu,7.2
1995,Hungary,Пенсії,old,1.2
1995,Hungary,Соціальний захист,soc,8.3
1995,Latvia,Безпека і оборона,def,3.7
1995,Latvia,Дороги і ЖКГ,hou,0.8
1995,Latvia,Медицина,med,3.2
1995,Latvia,Освіта,edu,7.2
1995,Lithuania,Безпека і оборона,def,3.1
1995,Lithuania,Дороги і ЖКГ,hou,0.6
1995,Lithuania,Медицина,med,4.6
1995,Lithuania,Освіта,edu,5.3
1995,Malta,Безпека і оборона,def,2.4
1995,Malta,Дороги і ЖКГ,hou,1.4
1995,Malta,Медицина,med,3.8
1995,Malta,Освіта,edu,5
1995,Slovakia,Безпека і оборона,def,5.1
1995,Slovakia,Дороги і ЖКГ,hou,1.3
1995,Slovakia,Медицина,med,2.9
1995,Slovakia,Освіта,edu,3.5
1996,Czech Republic,Безпека і оборона,def,3.5
1996,Czech Republic,Відсотки за борг,deb,1.1
1996,Czech Republic,Державна служба,cle,3.8
1996,Czech Republic,Дороги і ЖКГ,hou,6.6
1996,Czech Republic,Медицина,med,1.9
1996,Czech Republic,Освіта,edu,8.1
1996,Czech Republic,Пенсії,old,6
1996,Czech Republic,Соціальний захист,soc,5.8
1996,Estonia,Безпека і оборона,def,4
1996,Estonia,Відсотки за борг,deb,0.7
1996,Estonia,Державна служба,cle,3.6
1996,Estonia,Дороги і ЖКГ,hou,3.1
1996,Estonia,Медицина,med,4.5
1996,Estonia,Освіта,edu,7.3
1996,Estonia,Пенсії,old,6.2
1996,Estonia,Соціальний захист,soc,4.1
1996,Hungary,Безпека і оборона,def,2.9
1996,Hungary,Відсотки за борг,deb,9.1
1996,Hungary,Державна служба,cle,4.8
1996,Hungary,Дороги і ЖКГ,hou,3.5
1996,Hungary,Медицина,med,4.7
1996,Hungary,Освіта,edu,7.3
1996,Hungary,Пенсії,old,1.5
1996,Hungary,Соціальний захист,soc,6.7
1996,Latvia,Безпека і оборона,def,3.6
1996,Latvia,Дороги і ЖКГ,hou,0.8
1996,Latvia,Медицина,med,3
1996,Latvia,Освіта,edu,5.9
1996,Lithuania,Безпека і оборона,def,3.3
