country,item,option,year,val
Cyprus,Безпека і оборона,def,1995,
Cyprus,Безпека і оборона,def,1996,
Cyprus,Безпека і оборона,def,1997,
Cyprus,Безпека і оборона,def,1998,
Cyprus,Безпека і оборона,def,1999,
Cyprus,Безпека і оборона,def,2000,
Cyprus,Безпека і оборона,def,2001,3.6
Cyprus,Безпека і оборона,def,2002,3.8
Cyprus,Безпека і оборона,def,2003,4.1
Cyprus,Безпека і оборона,def,2004,3.7
Cyprus,Безпека і оборона,def,2005,3.6
Cyprus,Безпека і оборона,def,2006,3.7
Cyprus,Безпека і оборона,def,2007,3.5
Cyprus,Безпека і оборона,def,2008,3.5
Cyprus,Безпека і оборона,def,2009,3.8
Cyprus,Безпека і оборона,def,2010,4.3
Cyprus,Безпека і оборона,def,2011,3.9
Cyprus,Безпека і оборона,def,2012,3.8
Cyprus,Безпека і оборона,def,2013,3.7
Cyprus,Безпека і оборона,def,2014,3.1
Cyprus,Всього,ttl,1995,
Cyprus,Всього,ttl,1996,
Cyprus,Всього,ttl,1997,
Cyprus,Всього,ttl,1998,
Cyprus,Всього,ttl,1999,
Cyprus,Всього,ttl,2000,
Cyprus,Всього,ttl,2001,32.9
Cyprus,Всього,ttl,2002,33.9
Cyprus,Всього,ttl,2003,37.1
Cyprus,Всього,ttl,2004,35.2
Cyprus,Всього,ttl,2005,35.5
Cyprus,Всього,ttl,2006,34.8
Cyprus,Всього,ttl,2007,34.3
Cyprus,Всього,ttl,2008,35.5
Cyprus,Всього,ttl,2009,37.9
Cyprus,Всього,ttl,2010,37.4
Cyprus,Всього,ttl,2011,37.5
Cyprus,Всього,ttl,2012,35.9
Cyprus,Всього,ttl,2013,34
Cyprus,Всього,ttl,2014,40.8
Cyprus,Відсотки за борг,deb,1995,
Cyprus,Відсотки за борг,deb,1996,
Cyprus,Відсотки за борг,deb,1997,
Cyprus,Відсотки за борг,deb,1998,
Cyprus,Відсотки за борг,deb,1999,
Cyprus,Відсотки за борг,deb,2000,
Cyprus,Відсотки за борг,deb,2001,5.1
Cyprus,Відсотки за борг,deb,2002,4.5
Cyprus,Відсотки за борг,deb,2003,4.5
Cyprus,Відсотки за борг,deb,2004,4.6
Cyprus,Відсотки за борг,deb,2005,4.6
Cyprus,Відсотки за борг,deb,2006,4.1
Cyprus,Відсотки за борг,deb,2007,3.9
Cyprus,Відсотки за борг,deb,2008,4.1
Cyprus,Відсотки за борг,deb,2009,3
Cyprus,Відсотки за борг,deb,2010,2.6
Cyprus,Відсотки за борг,deb,2011,2.8
Cyprus,Відсотки за борг,deb,2012,3.4
Cyprus,Відсотки за борг,deb,2013,3.7
Cyprus,Відсотки за борг,deb,2014,3.1
Cyprus,Державна служба,cle,1995,
Cyprus,Державна служба,cle,1996,
Cyprus,Державна служба,cle,1997,
Cyprus,Державна служба,cle,1998,
Cyprus,Державна служба,cle,1999,
Cyprus,Державна служба,cle,2000,
Cyprus,Державна служба,cle,2001,5.8
Cyprus,Державна служба,cle,2002,6.3
Cyprus,Державна служба,cle,2003,7
Cyprus,Державна служба,cle,2004,6.6
Cyprus,Державна служба,cle,2005,7
Cyprus,Державна служба,cle,2006,6.9
Cyprus,Державна служба,cle,2007,7.4
Cyprus,Державна служба,cle,2008,7.3
Cyprus,Державна служба,cle,2009,8.6
Cyprus,Державна служба,cle,2010,7.7
Cyprus,Державна служба,cle,2011,8.1
Cyprus,Державна служба,cle,2012,8.6
Cyprus,Державна служба,cle,2013,6.8
Cyprus,Державна служба,cle,2014,15.9
Cyprus,Дороги і ЖКГ,hou,1995,
Cyprus,Дороги і ЖКГ,hou,1996,
Cyprus,Дороги і ЖКГ,hou,1997,
Cyprus,Дороги і ЖКГ,hou,1998,
Cyprus,Дороги і ЖКГ,hou,1999,
Cyprus,Дороги і ЖКГ,hou,2000,
Cyprus,Дороги і ЖКГ,hou,2001,3.6
Cyprus,Дороги і ЖКГ,hou,2002,3.9
Cyprus,Дороги і ЖКГ,hou,2003,4.2
Cyprus,Дороги і ЖКГ,hou,2004,4
Cyprus,Дороги і ЖКГ,hou,2005,4.2
Cyprus,Дороги і ЖКГ,hou,2006,4.1
Cyprus,Дороги і ЖКГ,hou,2007,3.9
Cyprus,Дороги і ЖКГ,hou,2008,4.1
Cyprus,Дороги і ЖКГ,hou,2009,4.7
Cyprus,Дороги і ЖКГ,hou,2010,4.8
Cyprus,Дороги і ЖКГ,hou,2011,4.8
Cyprus,Дороги і ЖКГ,hou,2012,4
Cyprus,Дороги і ЖКГ,hou,2013,3.4
Cyprus,Дороги і ЖКГ,hou,2014,3.4
Cyprus,Медицина,med,1995,
Cyprus,Медицина,med,1996,
Cyprus,Медицина,med,1997,
Cyprus,Медицина,med,1998,
Cyprus,Медицина,med,1999,
Cyprus,Медицина,med,2000,
Cyprus,Медицина,med,2001,2.7
Cyprus,Медицина,med,2002,2.9
Cyprus,Медицина,med,2003,3.1
Cyprus,Медицина,med,2004,2.8
Cyprus,Медицина,med,2005,2.8
Cyprus,Медицина,med,2006,2.8
Cyprus,Медицина,med,2007,2.6
Cyprus,Медицина,med,2008,2.7
Cyprus,Медицина,med,2009,3
Cyprus,Медицина,med,2010,3
Cyprus,Медицина,med,2011,3.1
Cyprus,Медицина,med,2012,3
Cyprus,Медицина,med,2013,3.1
Cyprus,Медицина,med,2014,2.7
Cyprus,Освіта,edu,1995,
Cyprus,Освіта,edu,1996,
Cyprus,Освіта,edu,1997,
Cyprus,Освіта,edu,1998,
Cyprus,Освіта,edu,1999,
Cyprus,Освіта,edu,2000,
Cyprus,Освіта,edu,2001,5.2
Cyprus,Освіта,edu,2002,5.5
Cyprus,Освіта,edu,2003,6.2
Cyprus,Освіта,edu,2004,5.9
Cyprus,Освіта,edu,2005,5.8
Cyprus,Освіта,edu,2006,5.8
Cyprus,Освіта,edu,2007,5.8
Cyprus,Освіта,edu,2008,6.2
Cyprus,Освіта,edu,2009,6.6
Cyprus,Освіта,edu,2010,6.8
Cyprus,Освіта,edu,2011,6.6
Cyprus,Освіта,edu,2012,6.1
Cyprus,Освіта,edu,2013,6.5
Cyprus,Освіта,edu,2014,5.8
Cyprus,Пенсії,old,1995,
Cyprus,Пенсії,old,1996,
Cyprus,Пенсії,old,1997,
