"year","country","abbr","eu","order","val","avg"
"2004","Україна","Укр","no","1","0.3","8.3"
"2014","Україна","Укр","no","1","0.7","10.2"
"2004","Греція","Гре","old","3","6.9","8.3"
"2014","Греція","Гре","old","3","6.8","10.2"
"2004","Естонія","Ест","new","4","2.7","8.3"
"2014","Естонія","Ест","new","4","6.3","10.2"
"2004","Іспанія","Ісп","old","6","7.6","8.3"
"2014","Іспанія","Ісп","old","6","9.7","10.2"
"2004","Польща","Пол","new","12","2.1","8.3"
"2014","Польща","Пол","new","12","3.9","10.2"
"2004","Чехія","Чех","new","19","3.8","8.3"
"2014","Чехія","Чех","new","19","6.2","10.2"
