"country","eu","order","item","option","year","val"
"Україна","no","1","Безпека і оборона","def","1995",""
"Україна","no","1","Відсотки за борг","deb","1995",""
"Україна","no","1","Всього","ttl","1995",""
"Україна","no","1","Державна служба","cle","1995",""
"Україна","no","1","Дороги і ЖКГ","hou","1995",""
"Україна","no","1","Медицина","med","1995",""
"Україна","no","1","Освіта","edu","1995",""
"Україна","no","1","Пенсії","old","1995",""
"Україна","no","1","Соціальний захист","soc","1995",""
"Україна","no","1","Безпека і оборона","def","1996",""
"Україна","no","1","Відсотки за борг","deb","1996",""
"Україна","no","1","Всього","ttl","1996",""
"Україна","no","1","Державна служба","cle","1996",""
"Україна","no","1","Дороги і ЖКГ","hou","1996",""
"Україна","no","1","Медицина","med","1996",""
"Україна","no","1","Освіта","edu","1996",""
"Україна","no","1","Пенсії","old","1996",""
"Україна","no","1","Соціальний захист","soc","1996",""
"Україна","no","1","Безпека і оборона","def","1997",""
"Україна","no","1","Відсотки за борг","deb","1997",""
"Україна","no","1","Всього","ttl","1997",""
"Україна","no","1","Державна служба","cle","1997",""
"Україна","no","1","Дороги і ЖКГ","hou","1997",""
"Україна","no","1","Медицина","med","1997",""
"Україна","no","1","Освіта","edu","1997",""
"Україна","no","1","Пенсії","old","1997",""
"Україна","no","1","Соціальний захист","soc","1997",""
"Україна","no","1","Безпека і оборона","def","1998",""
"Україна","no","1","Відсотки за борг","deb","1998",""
"Україна","no","1","Всього","ttl","1998",""
"Україна","no","1","Державна служба","cle","1998",""
"Україна","no","1","Дороги і ЖКГ","hou","1998",""
"Україна","no","1","Медицина","med","1998",""
"Україна","no","1","Освіта","edu","1998",""
"Україна","no","1","Пенсії","old","1998",""
"Україна","no","1","Соціальний захист","soc","1998",""
"Україна","no","1","Безпека і оборона","def","1999",""
"Україна","no","1","Відсотки за борг","deb","1999",""
"Україна","no","1","Всього","ttl","1999",""
"Україна","no","1","Державна служба","cle","1999",""
"Україна","no","1","Дороги і ЖКГ","hou","1999",""
"Україна","no","1","Медицина","med","1999",""
"Україна","no","1","Освіта","edu","1999",""
"Україна","no","1","Пенсії","old","1999",""
"Україна","no","1","Соціальний захист","soc","1999",""
"Україна","no","1","Безпека і оборона","def","2000",""
"Україна","no","1","Відсотки за борг","deb","2000",""
"Україна","no","1","Всього","ttl","2000",""
"Україна","no","1","Державна служба","cle","2000",""
"Україна","no","1","Дороги і ЖКГ","hou","2000",""
"Україна","no","1","Медицина","med","2000",""
"Україна","no","1","Освіта","edu","2000",""
"Україна","no","1","Пенсії","old","2000",""
"Україна","no","1","Соціальний захист","soc","2000",""
"Україна","no","1","Безпека і оборона","def","2001",""
"Україна","no","1","Відсотки за борг","deb","2001",""
"Україна","no","1","Всього","ttl","2001",""
"Україна","no","1","Державна служба","cle","2001",""
"Україна","no","1","Дороги і ЖКГ","hou","2001",""
"Україна","no","1","Медицина","med","2001",""
"Україна","no","1","Освіта","edu","2001",""
"Україна","no","1","Пенсії","old","2001",""
"Україна","no","1","Соціальний захист","soc","2001",""
"Україна","no","1","Безпека і оборона","def","2002",""
"Україна","no","1","Відсотки за борг","deb","2002",""
"Україна","no","1","Всього","ttl","2002",""
"Україна","no","1","Державна служба","cle","2002",""
"Україна","no","1","Дороги і ЖКГ","hou","2002",""
"Україна","no","1","Медицина","med","2002",""
"Україна","no","1","Освіта","edu","2002",""
"Україна","no","1","Пенсії","old","2002",""
"Україна","no","1","Соціальний захист","soc","2002",""
"Україна","no","1","Безпека і оборона","def","2003",""
"Україна","no","1","Відсотки за борг","deb","2003",""
"Україна","no","1","Всього","ttl","2003",""
"Україна","no","1","Державна служба","cle","2003",""
"Україна","no","1","Дороги і ЖКГ","hou","2003",""
"Україна","no","1","Медицина","med","2003",""
"Україна","no","1","Освіта","edu","2003",""
"Україна","no","1","Пенсії","old","2003",""
"Україна","no","1","Соціальний захист","soc","2003",""
"Україна","no","1","Безпека і оборона","def","2004","4.1"
"Україна","no","1","Відсотки за борг","deb","2004","0.9"
"Україна","no","1","Всього","ttl","2004","29.3"
"Україна","no","1","Державна служба","cle","2004","2.6"
"Україна","no","1","Дороги і ЖКГ","hou","2004","2.7"
"Україна","no","1","Медицина","med","2004","3.5"
"Україна","no","1","Освіта","edu","2004","5.3"
"Україна","no","1","Пенсії","old","2004","2.7"
"Україна","no","1","Соціальний захист","soc","2004","2.9"
"Україна","no","1","Безпека і оборона","def","2005","3.7"
"Україна","no","1","Відсотки за борг","deb","2005","0.8"
"Україна","no","1","Всього","ttl","2005","32.1"
"Україна","no","1","Державна служба","cle","2005","2.8"
"Україна","no","1","Дороги і ЖКГ","hou","2005","2.1"
"Україна","no","1","Медицина","med","2005","3.5"
"Україна","no","1","Освіта","edu","2005","6.1"
"Україна","no","1","Пенсії","old","2005","6.5"
"Україна","no","1","Соціальний захист","soc","2005","2.5"
"Україна","no","1","Безпека і оборона","def","2006","3.5"
"Україна","no","1","Відсотки за борг","deb","2006","0.6"
"Україна","no","1","Всього","ttl","2006","32.2"
"Україна","no","1","Державна служба","cle","2006","3"
"Україна","no","1","Дороги і ЖКГ","hou","2006","3.1"
"Україна","no","1","Медицина","med","2006","3.6"
"Україна","no","1","Освіта","edu","2006","6.2"
"Україна","no","1","Пенсії","old","2006","4.9"
"Україна","no","1","Соціальний захист","soc","2006","2.7"
"Україна","no","1","Безпека і оборона","def","2007","3.9"
"Україна","no","1","Відсотки за борг","deb","2007","0.5"
"Україна","no","1","Всього","ttl","2007","31.4"
"Україна","no","1","Державна служба","cle","2007","2.9"
"Україна","no","1","Дороги і ЖКГ","hou","2007","2.8"
"Україна","no","1","Медицина","med","2007","3.7"
"Україна","no","1","Освіта","edu","2007","6.2"
