partner,group,y2013,y2016,growth
Austria,ліс і деревина,37817232.910309,46047977,0.21764532876352494
Austria,машини і обладнання,35821135.4692519,12059319,-0.6633462663306287
Austria,продукти АПК,20156977.141189735,38368310,0.9034753937184536
Austria,руди і метали,202756241.3710939,203152301,0.001953378235006964
Austria,споживчі товари,46902803.5489916,56230099,0.19886434808242792
Austria,хімія і добрива,8510925.976643318,5598142,-0.34224054875308774
Belgium,ліс і деревина,11553794.60638874,33194734,1.8730590365216266
Belgium,машини і обладнання,16353584.185247766,8510609,-0.4795875385117565
Belgium,продукти АПК,166801882.7812504,145835797,-0.12569453912427364
Belgium,руди і метали,42456456.305158146,29542275,-0.3041747340460247
Belgium,споживчі товари,21186227.718988493,26855669,0.26760031829216024
Belgium,хімія і добрива,38283769.444304034,7581837,-0.8019568838165165
Bulgaria,ліс і деревина,4531479.054072113,14060447,2.1028383519427045
Bulgaria,машини і обладнання,43955284.52652958,35079231,-0.20193370654152776
Bulgaria,продукти АПК,9731106.797391571,26263104,1.6988814886955965
Bulgaria,руди і метали,284091197.5084266,314484522,0.1069843935966086
Bulgaria,споживчі товари,4180212.064661269,5368327,0.28422360324320195
Bulgaria,хімія і добрива,64570434.776115105,22685856,-0.6486649644119851
Czechia,ліс і деревина,22009481.93851783,34161480,0.552125583665624
Czechia,машини і обладнання,122634521.61056605,153537452,0.2519920980127295
Czechia,продукти АПК,13435312.123472475,17940423,0.3353186613846333
Czechia,руди і метали,304014501.0666135,297166321,-0.02252583361184135
Czechia,споживчі товари,10374300.586836606,23640660,1.2787714508673833
Czechia,хімія і добрива,54285577.714800864,34507706,-0.36433013237341794
Denmark,ліс і деревина,17807941.559688408,27059883,0.5195401955527013
Denmark,машини і обладнання,18947769.582312543,10985923,-0.4201996729865666
Denmark,продукти АПК,31962963.033461962,37176868,0.16312332999539536
Denmark,руди і метали,14076715.693611259,20973695,0.4899565677467612
Denmark,споживчі товари,43039832.970046535,55503249,0.28957863378855
Denmark,хімія і добрива,4685512.579549351,3836662,-0.18116493449495608
Finland,ліс і деревина,5306633.886867963,6971711,0.31377275098109036
Finland,машини і обладнання,14101973.401388515,10553859,-0.25160410535444344
