"id","payer_edrpou","date","payer_name","payer_full_name","payer_head","payer_activity","payer_region","payer_region_code","payer_mfo","payer_bank","recipt_edrpou","recipt_name","spd_id","spd_label","mistrust","recipt_mfo","recipt_bank","payment_details","amount","spd_total","dp_total"
"10657926","00152603","42362","ДП ""Володимирівське ЛГ""","ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","Надання допоміжних послуг у лісовому господарстві","Миколаївська","UA-48","826013","ГУДКСУ у Миколаївськiй областi","xxxxxxxxxx","ФОП СЕЛIН ВГ","Селін-351005","Селін","lm","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","#xxxx#,#xxxx#,#за розр. проекту землеустр.#,#дог.вiд18.12.xxxxр. №127акт перед.послуг№127 вiд 21.12.xxxxр#,#без.ПДВ#","3500","162365.61","80400"
"10658247","00152603","42362","ДП ""Володимирівське ЛГ""","ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","Надання допоміжних послуг у лісовому господарстві","Миколаївська","UA-48","826013","ГУДКСУ у Миколаївськiй областi","xxxxxxxxxx","ФОП СЕЛIН ВГ","Селін-351005","Селін","lm","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","#xxxx#,#xxxx#,#за розр. проекту землеустр.#,#дог.вiд18.12.xxxxр. №129акт перед.послуг№129вiд 21.12.xxxxр#,#без.ПДВ#","16400","162365.61","80400"
"10652942","00152603","42362","ДП ""Володимирівське ЛГ""","ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","Надання допоміжних послуг у лісовому господарстві","Миколаївська","UA-48","826013","ГУДКСУ у Миколаївськiй областi","xxxxxxxxxx","ФОП СЕЛIН ВГ","Селін-351005","Селін","lm","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","#xxxx#,#xxxx#,#за розр. проекту землеустр.#,#дог.вiд18.12.xxxxр. №125акт перед.послуг№125вiд 21.12.xxxxр#,#без.ПДВ#","21000","162365.61","80400"
"10653247","00152603","42362","ДП ""Володимирівське ЛГ""","ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","Надання допоміжних послуг у лісовому господарстві","Миколаївська","UA-48","826013","ГУДКСУ у Миколаївськiй областi","xxxxxxxxxx","ФОП СЕЛIН ВГ","Селін-351005","Селін","lm","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","#xxxx#,#xxxx#,#за розр. проекту землеустр.#,#дог.вiд18.12.xxxxр. №126акт перед.послуг№126 вiд 21.12.xxxxр#,#без.ПДВ#","14000","162365.61","80400"
"10656158","00152603","42362","ДП ""Володимирівське ЛГ""","ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","Надання допоміжних послуг у лісовому господарстві","Миколаївська","UA-48","826013","ГУДКСУ у Миколаївськiй областi","xxxxxxxxxx","ФОП СЕЛIН ВГ","Селін-351005","Селін","lm","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","#xxxx#,#xxxx#,#за розр. проекту землеустр.#,#дог.вiд18.12.xxxxр. №130акт перед.послуг№130вiд 21.12.xxxxр#,#без.ПДВ#","10500","162365.61","80400"
"10657034","00152603","42362","ДП ""Володимирівське ЛГ""","ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ","Надання допоміжних послуг у лісовому господарстві","Миколаївська","UA-48","826013","ГУДКСУ у Миколаївськiй областi","xxxxxxxxxx","ФОП СЕЛIН ВГ","Селін-351005","Селін","lm","351005","АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ","#xxxx#,#xxxx#,#за розр. проекту землеустр.#,#дог.вiд18.12.xxxxр. №128акт перед.послуг№128вiд 21.12.xxxxр#,#без.ПДВ#","15000","162365.61","80400"
"10020691","00159367","42359","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ПП Бочкарьов Г.С.","Бочкарьов-304795","Бочкарьов","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за ремонт блока живлення#,#дог.206/15вiд 16.12.2015р,акт КН-000001 вiд 16.12.2015р.#,#Без ПДВ#","250","250","426775.94"
"7036488","00159367","42332","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Верменiчев Ю.М.","Верменічев-320478","Верменічев","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","#1101100#,#2610#,#Оплата за матерiали для ремонта автомоб.#,#дог.161/15вiд 20.11.2015р,нак.1 вiд 20.11.2015р#,#Без ПДВ#","2239","2239","426775.94"
"4220543","00159367","42304","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","#1101100#,#2610#,#Оплата за пломбу свiнцову#,#дог.123/15 вiд20.10.2015р,вид.нак.0000001109вiд23.10.2015р.#,#Без ПДВ#","5184","45888.2","426775.94"
"5629572","00159367","42317","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","#1101100#,#2610#,#Оплата за господарськi товари#,#дог.141/15 вiд 05.11.2015р,вид.нак.0000001197 вiд 05.11.2015р.#,#Без ПДВ#","4258.4","45888.2","426775.94"
"7180379","00159367","42333","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","#1101100#,#2610#,#Оплата за доски,брус,колодки Люксел для електроприборiв #,#дог.169/15 вiд 24.11.2015р,вид.нак.0000001288 вiд 24.11.2015р#,#Без ПДВ#","4370","45888.2","426775.94"
"8012676","00159367","42338","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","#1101100#,#2610#,#Оплата за обоi акрiловi#,#дог.177/15 вiд 26.11.2015р,вид.нак.0000001304 вiд 26.11.2015р.#,#Без ПДВ#","5365","45888.2","426775.94"
"18913151","00159367","42475","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","1101100;2610;Оплата за електропаяльник,арматура для зливних бачкiв,електророзетка дог.20 вiд 13.04.2016р,вид нак.0000000377 вiд 13.04.2016р.Без ПДВ.","2615","45888.2","426775.94"
"25210937","00159367","42550","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","1101100;2610;Оплата за лампи та мiтла, дог.57 вiд 08.06.2016р,вид.накл.0000000535 вiд 08.06.2016р.Без ПДВ","22128.8","45888.2","426775.94"
"28588186","00159367","42593","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","820172","ДКСУ","xxxxxxxxxx","ФОП Деревянко Д.В.","Деревянко-320478","Деревянко","none","320478","ВАТ АБ ""УКРГАЗБАНК"" ","1101100;2610; Оплата за господар.товари( круг вiдрiзний,клей для шпалер,фарба,щiтка по мет), дог79 вiд30.06.2016р,вид.нак0000000652 вiд01.07.2016р.Без ПДВ.","1967","45888.2","426775.94"
"3191511","00159367","42293","2 ВГРЗ","ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","Діяльність пожежних служб","Луганська","UA-09","804013","ГУДКСУ у Луганській області","xxxxxxxxxx","ФОП Єрмак I.О.","Єрмак-304795","Єрмак","none","304795","ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК"" ","#1101100#,#2610#,#Оплата за заправку картрiджа#,#дог.116/15 вiд12.10.2015р,акт над.посл.2817вiд12.10.2015р#,#без ПДВ#","185","14140","426775.94"
